region,year,site-name,permit,status,latitude,longitude,operator,activities,accepts,tonnes-input,tonnes-treated-recovered,tonnes-output
West Lothian,2019,"Doonin Plant Ltd, Mill Rd, Armadale",WML/E/0220095,Not operational,55.905975835479204,-3.7233194861218477,DOONIN PLANT LTD,Transfer station,Commercial / Industrial,0,0,0
Midlothian,2019,"Caledonian Industria, Eldin Ind Est, Loanhead",WML/E/0020191,Not operational,55.88866414065108,-3.1448624422039373,CALEDONIAN INDUSTRIAL LIMITED,Transfer station,Commercial / Household / Industrial,0,0,0
Highland,2019,"HC Tongue LFS, Tongue, Sutherland",WML/N/0050058,Not operational,58.45865679321691,-4.379726236532898,THE HIGHLAND COUNCIL,Landfill (not operational),Household,0,0,0
Dumfries and Galloway,2019,"Seafield Garage, Palnackie, Castle Douglas",WML/W/0220138,Not operational,54.89376523166677,-3.83805653322959,HALLIDAY SKIP HIRE,Metal recycler,Commercial / Household / Other special,0,0,0
Glasgow City,2019,"Balmore Auto Parts,466 Denmark Street,Glasgow",WML/L/1060739,Not operational,55.887846849150876,-4.24918985381215,JAMES O'CONNER,Metal recycler,Commercial,0,0,0
Scottish Borders,2019,"Preston Cleugh Landfill Site, Preston",WML/E/0020101,Not operational,55.82517896548421,-2.329901933100531,SCOTTISH BORDERS COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,Westhill Civic Amenity,WML/N/0020026,Not operational,57.15158397786667,-2.294505197134099,ABERDEENSHIRE COUNCIL,Civic amenity,Household,0,0,0
Clackmannanshire,2019,"Burnside LF, NC Law, Tillicoultry",WML/E/0000322,Not operational,56.15198993422963,-3.7617218744011143,N C LAW CONSTRUCTION & DEMOLITION,Landfill (not operational),Commercial / Industrial / Inert,0,0,0
North Lanarkshire,2019,"Caledonian Proteins, Newarthill (ETS)",PPC/A/1036676,Not operational,55.8159713613837,-3.9213145589094434,DUNDAS CHEMICAL COMPANY,Other treatment,Industrial,0,0,0
East Dunbartonshire,2019,"Hope Park Landfill Site, Croy",WML/W/0000066,Not operational,55.959023903062636,-4.053738288592672,NORTH LANARKSHIRE COUNCIL,Landfill (not operational),Commercial,0,0,0
Renfrewshire,2019,"Rannoch Road, Johnstone",WML/W/0000092,Not operational,55.82263413666678,-4.50848901198102,WEST OF SCOTLAND SALVAGE,Metal recycler,Commercial / Household / Industrial,0,0,0
Midlothian,2019,"Drummond Moor (No3) Landfill Site, Penicuik",WML/E/0020194,Not operational,55.82203849268466,-3.1714635013843115,FCC ENVIRONMENT UK LIMITED,Civic amenity,Commercial / Household / Industrial,0,0,0
Falkirk,2019,"Mackenzie Auto Spares, Bonnyside Road",WML/E/0000036,Not operational,55.999870435156915,-3.8810641242508015,MACKENZIE AUTO SPARES,Metal recycler,Commercial / Household / Industrial,0,0,0
Orkney Islands,2019,"Head Of Work, St Ola, Kirkwall, Orkney",WML/N/0220150,Not operational,58.97375590581332,-3.1350064915967946,SCOTTISH WATER,Other treatment / Transfer station,Industrial,0,0,0
North Lanarkshire,2019,"E Corcoran, Argyle Works MR, Motherwell",WML/W/0000168,Not operational,55.78912335888421,-3.9853004846285294,EDWARD CORCORAN,Metal recycler,Commercial / Household / Industrial,0,0,0
North Lanarkshire,2019,"FCC Recycling (UK) Ltd, Greengairs, Airdrie",PPC/A/1100515,Not operational,55.900650069868725,-3.9399453281890935,FCC RECYCLING (UK) LIMITED,Anaerobic digestion / Other treatment,Commercial / Household / Industrial,0,0,0
Renfrewshire,2019,"Bishopton Landfill, Royal Ordnance Site",PPC/A/1020313,Not operational,55.89526121273833,-4.5333171488524195,BAE SYSTEMS PROPERTIES LTD,Landfill / Other treatment,Commercial / Household / Industrial / Other special / Special asbestos,0,0,0
Falkirk,2019,"Caltech Ind Serv TS, 6 Inchyra Rd, G'mouth",WML/E/0220106,Not operational,56.008221460301584,-3.701545070940381,CALTECH INDUSTRIAL SERVICE COMPANY,Transfer station,Industrial,0,0,0
Moray,2019,"Spey Bay Auto Salvage ELV/MR, Nether Dallachy",WML/N/0020110,Not operational,57.66191315031482,-3.059102949506415,SPEY BAY SALVAGE LTD,Metal recycler,Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,"Cairnhall Landfill, Kintore",WML/N/0020064,Not operational,57.24986347108862,-2.3558846997836533,MESSRS D M SHARP,Landfill (not operational),Commercial,0,0,0
Midlothian,2019,"A C Breakers, Easthouses Industrial Estate",WML/E/0000095,Not operational,55.88182838170966,-3.0444656913326082,A C BREAKERS,Metal recycler,Other special,0,0,0
Angus,2019,"EVIS CA site, Inglis Court, Edzell",WML/E/0020035,Not operational,56.80943049718437,-2.649090289628807,EDZELL VILLAGE IMPROVEMENT SOCIETY TRUSTEES,Civic amenity,Household,0,0,0
Orkney Islands,2019,"South House LFS, Tankerness, Orkney",WML/N/0050069,Not operational,58.948450804686736,-2.872339307443904,PRIVATE CONTACT,Landfill (not operational),Commercial / Inert,0,0,0
Shetland Islands,2019,Landfill - Sullom Voe Terminal,WML/N/0050095,Not operational,60.47386246618311,-1.2678084289876592,ENQUEST NNS LIMITED,Landfill (not operational),Inert,0,0,0
North Ayrshire,2019,"33 Kyle Road Industrial Estate, Irvine",WML/W/0000234,Not operational,55.597912863312516,-4.672945050318371,JOHN R ADAM & SON LTD,Metal recycler,Commercial / Household / Industrial,0,0,0
Glasgow City,2019,"SBS, 739 South St, Whiteinch",WML/W/0020170,Not operational,55.87298071752841,-4.344960579222015,SBS WASTE MANAGEMENT LTD,Transfer station,Commercial,0,0,0
North Ayrshire,2019,Autoparts (Beith),WML/W/0000098,Not operational,55.752065826325484,-4.645721802512717,AUTOPARTS (BEITH),Metal recycler,Commercial / Household / Industrial,0,0,0
Perth and Kinross,2019,"Perth & Kinross Council, Friarton TS, Perth",WML/E/0020054,Not operational,56.375865962012774,-3.424568893006918,PERTH & KINROSS COUNCIL,Transfer station,Commercial,0,0,0
Dumfries and Galloway,2019,"The Pot, Castle Kennedy, Stranraer",WML/W/0000259,Not operational,54.89885979176108,-4.964057704265638,STAIR ESTATES,Landfill (not operational),Household,0,0,0
Fife,2019,"W Stewart & Son ELV/MR, Back Dykes, E. Wemyss",WML/E/0000277,Not operational,56.1556047584794,-3.066517644557519,W STEWART & SONS,Metal recycler,Commercial,0,0,0
Fife,2019,"Balbarton Leachate Treat/Plant, Auchtertool",PPC/A/1148433,Not operational,56.10152219988073,-3.2248295850021877,FIFE COUNCIL RESOURCE EFFICIENT SOLUTIONS,Other treatment,Industrial,0,0,0
South Lanarkshire,2019,"Newlandsmuir Road LF, Gardenhall, E Kilbride",WML/W/0000106,Not operational,55.749737745236374,-4.217041018629027,EAST KILBRIDE DEVELOPMENT CORPORATION,Landfill (not operational),Commercial,0,0,0
Dumfries and Galloway,2019,"Campbeltown Farm, Twynholm, Whiteliggate",WML/W/0000265,Not operational,54.86084451569831,-4.092594035415433,JAMES RAE HALLIDAY,Landfill (not operational),Industrial,0,0,0
Aberdeenshire,2019,"NorSea Group Base, Smith Quay, Peterhead",WML/L/1165834,Not operational,57.503091306908956,-1.777753301008174,NORSEA GROUP (UK) LTD,Transfer station,Industrial,0,0,0
South Lanarkshire,2019,"37 Downiebrae Road, Rutherglen, Glasgow",WML/W/0220218,Not operational,55.83585926968276,-4.200889297334385,END OF LIFE VEHICLES (SCOTLAND) LTD,Metal recycler,Commercial,0,0,0
Aberdeenshire,2019,"Bushelgreens MR, Maud, Peterhead",WML/N/0020211,Not operational,57.48724832018065,-2.1802459157610814,PRIVATE CONTACT,Metal recycler,Commercial / Household / Industrial,0,0,0
Clackmannanshire,2019,"Marshall Farms TS, Balquharn Farm, Alva",WML/E/0020147,Not operational,56.15527783080343,-3.8249802951607457,MARSHALL FARMS (ALLOA),Transfer station,Commercial / Industrial / Special asbestos,0,0,0
South Lanarkshire,2019,"Craigknowe farm, (Scrap) Uddingston",WML/W/0000136,Not operational,55.80715596643311,-4.09983655057452,BLANTYRE CAR BREAKERS,Metal recycler,Commercial / Household / Industrial,0,0,0
Renfrewshire,2019,"Renfrew Car Breakers Ltd, Renfrew",WML/L/1026111,Not operational,55.88639597352582,-4.38868076611584,RENFREW CAR BREAKERS LIMITED,Metal recycler,Commercial,0,0,0
Glasgow City,2019,"274 Bell Street, Glasgow",WML/W/0000041,Not operational,55.85679280605815,-4.236303996890248,P DALY LIMITED,Metal recycler,Commercial / Household / Industrial,0,0,0
Fife,2019,"JNoble Auto Salvage ELV/MR,Old Council Yard",WML/E/0120021,Not operational,56.12516345548429,-3.1502369631776186,J NOBLE AUTO SALVAGE,Metal recycler,Commercial,0,0,0
Highland,2019,"Alcan Kinlochleven LFS, Kinlochleven, Argyll",WML/N/0050061,Not operational,56.714681518380104,-4.971231477633874,ALCAN ALUMINIUM UK LTD,Landfill (not operational),Other special,0,0,0
Highland,2019,"HC closed Rassay LFS, Oscaig, Creachan",WML/N/0050024,Not operational,57.366394999206655,-6.0685847358539995,THE HIGHLAND COUNCIL,Landfill (not operational),Commercial,0,0,0
Scottish Borders,2019,The Pots Meigle Farm Pet Cemetery Clovenfords,WML/E/0020190,Not operational,55.6194857106458,-2.8699390239244305,MRS JOAN MUNDELL,Pet cemetery,Household,0,0,0
North Lanarkshire,2019,WML Landfill - Carbarns WWTW,WML/W/0020120,Not operational,55.76257245553286,-3.955607058966461,SCOTTISH WATER,Landfill (not operational),Industrial,0,0,0
Dumfries and Galloway,2019,"Dundas Chemical Co, Mosspark, Dumfries",PPC/W/0020064,Not operational,55.063759750885275,-3.5613822422210695,DUNDAS CHEMICAL COMPANY,Other treatment,Industrial,0,0,0
Dumfries and Galloway,2019,Sanquhar Landfill Site,WML/W/0020016,Not operational,55.373076289298716,-3.922659252859556,DUMFRIES & GALLOWAY COUNCIL,Landfill (not operational),Inert,0,0,0
Glasgow City,2019,"Altan Plant Yard, 321 Aikenhead Road, Glasgow",WML/L/1138032,Not operational,55.83735706562276,-4.247295374514824,ALTAN SKIP HIRE LTD,Transfer station,Commercial / Household / Industrial / Inert,0,0,0
Dumfries and Galloway,2019,"Gatelawbridge Landfill Site, Thornhill",WML/W/0020018,Not operational,55.25029331283663,-3.7272917044902565,DUMFRIES & GALLOWAY COUNCIL,Landfill (not operational),Inert,0,0,0
Glasgow City,2019,Tradeston Auto Salvage 130 Kilbirnie St Glasg,WML/L/1037232,Not operational,55.84733173493855,-4.2650784977856,K.B. ENTERPRISES (SCOTLAND) LTD,Metal recycler,Commercial,0,0,0
North Ayrshire,2019,"AMK, Unit 7, Metcalfe Place, Irvine",WML/L/1100181,Not operational,55.595695010645365,-4.64131136584415,AMKWASTE LTD,Transfer station,Commercial / Inert,0,0,0
East Lothian,2019,"Carberry LS, Whitecraig, East Lothian",WML/E/0020086,Not operational,55.920045165927924,-3.0190235170409494,EAST LOTHIAN COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Angus,2019,"D J Laing (Con) Ltd, Petterden LF, Dundee",WML/E/0000228,Not operational,56.54658895693504,-2.936990348981056,D J LAING (CONTRACTS) LIMITED,Landfill (not operational),Commercial,0,0,0
Highland,2019,"HC Bettyhill LFS, Bettyhill, Sutherland",WML/N/0050059,Not operational,58.51295750363385,-4.167724829959276,THE HIGHLAND COUNCIL,Landfill (not operational),Household,0,0,0
Inverclyde,2019,"James Watt Dock, Garvel Island, Greenock",WML/L/1089846,Not operational,55.946094241446716,-4.72858223977565,JAMES WATT DOCK LLP,Transfer station,Commercial,0,0,0
Fife,2019,"Ferry Toll Quarry Landfill, Inverkeithing",WML/E/0000249,Not operational,56.01885753782031,-3.401127804622504,R M SUPPLIES (KIRKCALDY) LIMITED,Landfill (not operational),Commercial / Industrial,0,0,0
Renfrewshire,2019,"Abbey Car Breakers, Paisley",WML/W/0000090,Not operational,55.85812968092075,-4.419772743890277,ABBEYCAR BREAKERS,Metal recycler,Commercial,0,0,0
East Dunbartonshire,2019,Inchbelly Landfill Inchbelly Fm Kirkintilloch,WML/W/0000050,Not operational,55.95491464823758,-4.1368128761405005,W H MALCOLM LTD,Landfill (not operational),Commercial,0,0,0
Dumfries and Galloway,2019,"Annanbank Farm Landfill, Johnstonebridge",WML/W/0000198,Not operational,55.22754720310907,-3.4072852924783605,HANSON QUARRY PRODUCTS EUROPE LIMITED,Landfill (not operational),Industrial,0,0,0
North Lanarkshire,2019,Hassockrigg Clinical Waste Treatment Facility,PPC/A/1111773,Not operational,55.84490225991063,-3.793394918366524,HEALTHCARE ENVIRONMENTAL SERVICES LIMITED,Incineration / Other treatment,Commercial / Household / Other special,0,0,0
Midlothian,2019,"Skip Link Ltd, Dalhousie Bus. Park",WML/L/1153579,Not operational,55.862475574386245,-3.087571169481595,SKIP LINK LIMITED,Transfer station,Household,0,0,0
South Lanarkshire,2019,"69 Washington St, Glasgow",WML/W/0000035,Not operational,55.79735329125851,-4.152123621793526,R M EASDALE,Metal recycler,Commercial / Household / Industrial,0,0,0
Orkney Islands,2019,Bossack Quarry ELV site,WML/L/1018860,Not operational,58.96131824524925,-2.862178790438879,ORKNEY ISLANDS COUNCIL,Metal recycler,Commercial / Household / Industrial / Other special,0,0,0
Midlothian,2019,Melville Sand Pit By Lasswade,WML/E/0000084,Not operational,55.88720408240742,-3.1248478353963858,TARMAC TRADING LIMITED,Landfill (not operational),Household,0,0,0
Aberdeen City,2019,"Ness Farm Landfill Site, Aberdeen",WML/N/0020016,Not operational,57.124839867853446,-2.054015271111978,ABERDEEN CITY COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Angus,2019,"D Geddes Ltd, Kinnell Quarry LF Friockheim",WML/E/0000218,Not operational,56.64025417456633,-2.6420076875535883,D GEDDES (CONTRACTORS) LTD,Landfill (not operational),Household / Inert,0,0,0
East Dunbartonshire,2019,"East Mavis Valley Landfill, Bishopbriggs",WML/W/0000065,Not operational,55.915237826210515,-4.245078325965157,T/A DON CONSTRUCTION,Landfill (not operational),Commercial,0,0,0
City of Edinburgh,2019,"Land at 26 Bath Road, Leith, Edinburgh",WML/E/0220205,Not operational,55.9750141346211,-3.157524348687469,TKC WASTE MANAGEMENT LTD,Transfer station,Commercial / Household,0,0,0
Fife,2019,"Longannet Ash Lagoons Landfill, Kincardine",WML/E/0000250,Not operational,56.05060946940764,-3.6689804405033586,SCOTTISHPOWER GENERATION LIMITED,Landfill (not operational) / Other treatment / Transfer station,Commercial / Household / Industrial / Inert,0,0,0
Renfrewshire,2019,"PAISLEY AUTO BREAKERS 49 SCOTTS RD, PAISLEY",WML/W/0000096,Not operational,55.841084436487414,-4.390932493906552,PAISLEY AUTO BREAKERS,Metal recycler,Commercial / Household / Industrial,0,0,0
South Lanarkshire,2019,"Blue Water Quarry, Quarter",WML/W/0000131,Not operational,55.73922155429565,-4.041777622618616,STRATHCLYDE REGIONAL COUNCIL,Landfill (not operational),Commercial / Industrial,0,0,0
Orkney Islands,2019,"Kingsdale LFS, Firth, Orkney",PPC/A/1027001,Not operational,58.98795474806583,-3.0828124383535376, E W G DICKEY & CO,Landfill,Inert,0,0,0
North Lanarkshire,2019,"AMC Salvage Recovery ELV, Unit 6, Woodhead Rd",WML/W/0220174,Not operational,55.89224624048,-4.1135483639891675,AMC SALVAGE RECOVERY,Metal recycler,Commercial / Industrial / Other special,0,0,0
North Ayrshire,2019,"William Boyd, 48-50 Moorpark Rd W, Stevensto",WML/W/0000229,Not operational,55.63673328045569,-4.749683539927319,WILLIAM BOYD,Metal recycler,Commercial / Household / Industrial,0,0,0
North Ayrshire,2019,"Irvine Car Spares, Shewalton Sand Quarry, Irv",WML/W/0000232,Not operational,55.599755723178795,-4.649348674255864,SHEWALTON SAND QUARRY,Metal recycler,Other special,0,0,0
Scottish Borders,2019,"Dunionhill Landfill Site, Jedburgh",WML/E/0020100,Not operational,55.46429014932437,-2.5956543379380803,SCOTTISH BORDERS COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Glasgow City,2019,"Kenmuir Road Scrapyard, Mount Vernon, Glasgow",WML/W/0000031,Not operational,55.83893823534605,-4.138447791274026,PATERSONS OF GREENOAKHILL LTD,Metal recycler,Commercial,0,0,0
Highland,2019,"HC closed LFS Brackletter, by Spean Bridge",WML/N/0050027,Not operational,56.90175793173096,-4.971706781912424,THE HIGHLAND COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Dumfries and Galloway,2019,"Galdenoch Waste Disp Site, Leswalt, Stranraer",PPC/A/1000154,Not operational,54.931920264528564,-5.134573524197886,RENEWI UK SERVICES LIMITED,Civic amenity / Composting / Landfill (not operational),Commercial / Household / Industrial / Inert,0,0,0
South Lanarkshire,2019,"Cadzow Dam TS & CA Site, Hamilton",WML/W/0020004,Not operational,55.745131337103516,-4.076361553334232,SOUTH LANARKSHIRE COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial,0,0,0
East Ayrshire,2019,"Craignaught Landfill Site, Dunlop",WML/W/0000222,Not operational,55.73409544962517,-4.4736654285876885,TARMAC TRADING LIMITED,Landfill (not operational),Inert,0,0,0
East Dunbartonshire,2019,"Ashfield Motors, Bishopbriggs",WML/W/0000053,Not operational,55.89722142431952,-4.22795973984323,ASHFIELD MOTORS LTD,Transfer station,Commercial,0,0,0
North Lanarkshire,2019,"Envirotyre Ltd, A8 Edinburgh Rd, Coatbridge",WML/L/1018710,Not operational,55.84293988710444,-4.00767567631301,ENVIROTYRE LTD,Transfer station,Commercial,0,0,0
Falkirk,2019,"Heaswood Garage ELV, Whitehill Farm, Denny",WML/E/0220191,Not operational,56.007628108169946,-3.9269521429277168,HEADSWOOD GARAGE,Metal recycler,Commercial / Household / Industrial,0,0,60
Outer Hebrides,2019,"Mossend Ind Estate, TS, Stornoway, Isle Lewis",WML/N/0050115,Not operational,58.21265938587942,-6.363162353792277,PRIVATE CONTACT,Transfer station,Commercial / Household / Industrial,0,0,0
Fife,2019,"Fife Council, Cuddyhouse Rd CA, Cowdenbeath",WML/E/0020148,Not operational,56.10957877825541,-3.3649393111897203,FIFE COUNCIL,Civic amenity,Commercial,0,0,0
Renfrewshire,2019,"Southbar Landfill Site, Bishopton",WML/W/0000078,Not operational,55.891786171077115,-4.483741410499954,W H MALCOLM LTD,Landfill (not operational),Commercial / Industrial,0,0,0
North Lanarkshire,2019,"Dalmacoulter Civic Amenity Site, Airdrie",WML/W/0020077,Not operational,55.88455543371301,-3.9709009326297395,NORTH LANARKSHIRE COUNCIL,Civic amenity,Household,0,0,0
Angus,2019,"Norman Jamieson,Gagie LF No 7 Holding, Dundee",WML/E/0000233,Not operational,56.5194263288224,-2.866358719920958,NORMAN JAMIESON LTD,Landfill (not operational),Industrial,0,0,0
Highland,2019,Benview Pet Cemetery,WML/N/0050004,Not operational,57.47030410388244,-4.178560116434106,PRIVATE CONTACT,Pet cemetery,Commercial,0,0,0
Highland,2019,"HC Closed LFS Killchoan, Lighthouse Road",WML/N/0050026,Not operational,56.70764180323223,-6.135049051015164,THE HIGHLAND COUNCIL,Landfill (not operational),Household,0,0,0
Perth and Kinross,2019,"King Contractors,Huntingtower Quarry LF,Perth",WML/E/0000304,Not operational,56.406609279778955,-3.499917897422845,D K PROPERTIES (PERTH) LIMITED,Landfill (not operational),Industrial / Inert,0,0,0
Dundee City,2019,"GRC Recycling ELV/MR,E Camperdown St, Dundee",WML/E/0220264,Not operational,56.46473336376134,-2.9485432244208156,GRC SKIP HIRE & WASTE MANAGEMENT LIMITED,Metal recycler,Household,0,0,0
Glasgow City,2019,"15-23 Scotland St, Glasgow",WML/L/1101589,Not operational,55.84987487574218,-4.267063969585839,CENTRAL CAR BREAKERS LTD,Metal recycler,Commercial,0,0,0
Fife,2019,"Glenrothes Vehicle Dismantlers ELV,Cable Rd",WML/E/0220136,Not operational,56.1819194182124,-3.1808397628612752,GLENROTHES VEHICLE DISMANTLERS,Metal recycler,Commercial,0,0,0
North Lanarkshire,2019,Q-Trac Europark Reema Rd Bellshill,WML/W/0020157,Not operational,55.82343687635997,-4.000443921061137,Q-TRAC LTD,Other treatment,Commercial / Household / Industrial,0,0,0
East Ayrshire,2019,Hollybush Farm Landfill Site,WML/W/0000240,Not operational,55.53824326807626,-4.395071141204113,BARR LTD,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Aberdeenshire,2019,Tarbothill Farm Landfill Site,WML/N/0020151,Not operational,57.21534912609335,-2.0647616433704408,SHANKS NORTHERN LTD,Landfill (not operational),Industrial,0,0,0
Angus,2019,"UK Waste Mgmt Ltd, Wellbank Quarry LF, Dundee",WML/E/0020114,Not operational,56.52996590297422,-2.8534129321445922,UK WASTE MANAGEMENT LTD,Landfill (not operational),Commercial / Household / Industrial / Other special / Special asbestos,0,0,0
Falkirk,2019,"Scottish Power TS, Glasgow Rd, Camelon",WML/E/0000046,Not operational,56.00727898168233,-3.8289038906663944,SP POWER SYSTEMS LTD,Transfer station,Industrial,0,0,0
East Dunbartonshire,2019,"Gartshore No 1 Colliery, Twechar",WML/W/0000060,Not operational,55.9659782355769,-4.06141426238645,KELVIN TANK SERVICES LTD,Landfill (not operational),Commercial,0,0,0
West Lothian,2019,"K & A Car Breakers, Albyn Industrial Estate",WML/E/0000064,Not operational,55.94322674753011,-3.4628193885932155,K & A CAR BREAKERS,Metal recycler,Commercial,0,0,0
Angus,2019,"Kelbie Metals MR/ELV, Wardmill Road, Arbroath",WML/E/0000209,Not operational,56.56461845056946,-2.5854111677752276,FRANK KELBIE,Metal recycler,Commercial / Household / Industrial,0,0,0
North Lanarkshire,2019,"McWilliam Contrts TS,Hollandhurst Rd,Coatbrdg",WML/W/0000181,Not operational,55.87246494154468,-4.033978450751619,MACWILLIAM PLANT LTD,Transfer station,Commercial,0,0,0
Aberdeenshire,2019,"23 Denmark Street, Fraserburgh",WML/N/0020136,Not operational,57.695640111771404,-2.007986026264897,JOHN WILLIAMSON (1988),Transfer station,Commercial / Household / Other special,0,0,0
Dundee City,2019,"ASPECT LLP Perrie St, Dundee",WML/E/0120025,Not operational,56.47288044936031,-3.017015312937256,ASPECTS CONTRACTS,Transfer station,Household / Special asbestos,0,0,0
Moray,2019,"W A Baxter & Sons Landfill Site, Fochabers",WML/N/0020096,Not operational,57.6275534436605,-3.1027508197116873,W A BAXTER & SONS LTD,Landfill (not operational),Industrial,0,0,0
East Dunbartonshire,2019,"General Autos, Southbank Road, Kirkintilloch",WML/W/0220094,Not operational,55.93236127714525,-4.162166362183258,WILLIAM HUNTER,Metal recycler,Commercial,0,0,0
Outer Hebrides,2019,"Leiniscal Quarry, Lochs Road, Lochs, Lewis",WML/L/1172757,Not operational,58.17186764231406,-6.473456492147189,ANGUS MACIVER LTD,Metal recycler / Transfer station,Household,0,0,0
City of Edinburgh,2019,"NWH Recycling, 3 Albert Road, Leith Docks",WML/E/0120031,Not operational,55.97462839490579,-3.151695324538901,NWH CONSTRUCTION SERVICES LTD,Transfer station,Commercial / Household / Industrial,0,0,0
Dumfries and Galloway,2019,"The Lime Store, Castle Kennedy",WML/L/1018931,Not operational,54.89892432498988,-4.946260512530874,ALEX SCOTT & SON,Transfer station,Commercial / Household / Industrial,0,0,0
Glasgow City,2019,"Glaswegian Autoparts,151-161 Langside Rd,Glas",WML/L/1038326,Not operational,55.83587195826613,-4.259668169278159,GLASWEGIAN AUTOPARTS,Metal recycler,Commercial,0,0,0
Fife,2019,"William Noble, Randolph Ind Est",WML/E/0000279,Not operational,56.132766134984585,-3.1228502772035833,WM NOBLE,Metal recycler,Industrial,0,0,0
Clackmannanshire,2019,"Ochil Services Limited, Kelliebank, Alloa",WML/L/1115861,Not operational,56.11213488278334,-3.810600119190278,OCHIL SERVICES LIMITED,Transfer station,Household,0,0,0
Aberdeenshire,2019,"Alford CA Site, Mart Road, Alford",WML/N/0020028,Not operational,57.23055088601552,-2.697918178724073,ABERDEENSHIRE COUNCIL,Civic amenity,Household,0,0,0
South Lanarkshire,2019,"Earnock Quarry, Blantyre",WML/W/0000142,Not operational,55.760643824038404,-4.110199888181056,EAST KILBRIDE DISTRICT COUNCIL,Landfill (not operational),Household,0,0,0
West Lothian,2019,"Drumshoreland Road, Pumpherston",WML/E/0000057,Not operational,55.91016478820347,-3.4792866473426765,PUMPHERSTON OIL COMPANY LTD,Landfill (not operational) / Other treatment,Industrial / Other special,0,0,0
North Ayrshire,2019,"Brodick Landfill Site, Isle of Arron",WML/W/0020057,Not operational,55.57584889078006,-5.126202135067945,NORTH AYRSHIRE COUNCIL,Landfill (not operational),Household,0,0,0
Argyll and Bute,2019,"Dhurrie Farm Closed LFS, by Campbeltown",WML/W/0000220,Not operational,55.439483223623355,-5.665594840899096,MCFADYENS CONTRACTORS (CAMPBELTOWN),Landfill (not operational),Inert,0,0,0
Aberdeenshire,2019,"Biogask, Gask, Turriff, AB53 8BP",PPC/A/1004448,Not operational,57.51970232828197,-2.440973467630204,JOHN RENNIE & SONS (FARMERS) LIMITED,Anaerobic digestion,Industrial,0,0,0
Falkirk,2019,"12 Inchyra Road, Grangemouth",WML/E/0120013,Not operational,56.007096120651916,-3.702987417700785,PLASTIC POLYMER PROCESSORS LTD,Transfer station,Commercial / Industrial,0,0,0
Aberdeenshire,2019,"Govals Quarry Landfill Site, Lumsden",WML/N/0020091,Not operational,57.29336845209414,-2.865566676366077,ABERDEENSHIRE COUNCIL,Landfill (not operational),Commercial / Household / Industrial,0,0,0
Midlothian,2019,"17-29 Engine Road, Loanhead",WML/L/1173039,Not operational,55.87919708048783,-3.146278400398719,ACE CAR DISPOSAL & SPARES LTD,Metal recycler,Other special,30.7,30,0
South Lanarkshire,2019,"Markethill Road Landfill, Nerston",WML/W/0000109,Not operational,55.7755805508417,-4.182355462463516,SOUTH LANARKSHIRE COUNCIL,Landfill (not operational),Industrial,0,0,0
North Ayrshire,2019,"Drybridge Autos, Irvine",WML/W/0000231,Not operational,55.594728991623036,-4.602001453777268,R MCLARDY,Metal recycler,Other special,0,0,0
North Ayrshire,2019,"Pet Crematorium,Murdoch Place, Irvine",WML/W/0220282,Not operational,55.59448856333649,-4.6393093015577,HAMILTON (IRVINE) LTD,Pet crematoria,Household,0,0,0
South Ayrshire,2019,"Lomac Alloys Ltd,Saltpans Rd (Bay 4), Ayr",WML/W/0220047,Not operational,55.475052696025216,-4.628294341027776,LOWMAC ALLOYS LTD,Transfer station,Commercial / Household,0,0,0
East Dunbartonshire,2019,"Gartshore Landfill Site, Twechar",WML/W/0000064,Not operational,55.93762797745828,-4.079188212081387,CEMEX UK MATERIALS LIMITED,Landfill (not operational),Commercial,0,0,0
Inverclyde,2019,"4-6 Anderson Street, Port Glasgow",WML/L/1085888,Not operational,55.93694340780051,-4.689740182515797,AUTO-TEC (SCOTLAND) LTD,Metal recycler,Commercial,0,0,0
Scottish Borders,2019,"Hartwoodburn Farm Landfill, Selkirk",WML/E/0000012,Not operational,55.53156686724949,-2.8379236464896844,MURRAY & BURRELL LTD,Landfill (not operational),Commercial / Inert,0,0,0
Outer Hebrides,2019,"WIC closed LFS, Raoinavat, South Skawbost",WML/N/0050032,Not operational,58.314956430526536,-6.708370348055393,WESTERN ISLES COUNCIL,Landfill (not operational),Household,0,0,0
Glasgow City,2019,"11 Keith St, Partick, Glasgow",WML/W/0000034,Not operational,55.8701794427146,-4.300028670171926,A REYNOLDS AND SON,Metal recycler,Commercial / Household / Industrial,0,0,0
West Lothian,2019,Uphall Depot Uphall Depot BROXBURN,WML/L/1159920,Not operational,55.92303338956521,-3.492757440141278,SCOT HEATING COMPANY LIMITED,Transfer station,Inert,0,0,0
Glasgow City,2019,"Govan Motors, Helen Street, Glasgow",WML/W/0000117,Not operational,55.8555441547387,-4.313546304770749,GOVAN MOTORS,Metal recycler,Industrial,0,0,0
